question_id,db_id,difficulty,sql_status,sparql_status,consensus,perceived_winner
11,california_schools,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
12,california_schools,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
17,california_schools,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
23,california_schools,moderate,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_B
24,california_schools,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
25,california_schools,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
26,california_schools,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
27,california_schools,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_A
28,california_schools,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
31,california_schools,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
32,california_schools,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
37,california_schools,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
36,california_schools,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
39,california_schools,simple,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
40,california_schools,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
41,california_schools,simple,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
45,california_schools,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
46,california_schools,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
47,california_schools,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
48,california_schools,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
50,california_schools,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
62,california_schools,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
72,california_schools,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
77,california_schools,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
79,california_schools,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
82,california_schools,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
83,california_schools,challenging,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
85,california_schools,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
87,california_schools,challenging,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_B
340,card_games,simple,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
341,card_games,simple,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
344,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
345,card_games,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
346,card_games,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
347,card_games,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
349,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
352,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
356,card_games,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
358,card_games,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
366,card_games,simple,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
368,card_games,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
371,card_games,challenging,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
377,card_games,simple,CORRECT,CORRECT,FULL_AGREEMENT,TIE
379,card_games,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
383,card_games,simple,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
391,card_games,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
397,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,TIE
402,card_games,moderate,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
405,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,AGENT_B
407,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
408,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
409,card_games,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
412,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
414,card_games,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
415,card_games,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
416,card_games,challenging,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
422,card_games,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
424,card_games,simple,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
427,card_games,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
440,card_games,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
459,card_games,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
462,card_games,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
465,card_games,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
466,card_games,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
468,card_games,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
469,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
472,card_games,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
473,card_games,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
474,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,AGENT_B
477,card_games,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
479,card_games,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
480,card_games,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
483,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
484,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
486,card_games,moderate,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
487,card_games,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
518,card_games,moderate,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_A
522,card_games,moderate,CORRECT,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_A
528,card_games,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
529,card_games,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,TIE
530,card_games,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
531,codebase_community,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
532,codebase_community,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
533,codebase_community,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
539,codebase_community,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
537,codebase_community,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
544,codebase_community,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
547,codebase_community,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,TIE
549,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
555,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
557,codebase_community,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
563,codebase_community,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
565,codebase_community,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
567,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
568,codebase_community,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
571,codebase_community,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
572,codebase_community,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
573,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
576,codebase_community,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
578,codebase_community,moderate,CORRECT,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_A
581,codebase_community,moderate,CORRECT,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_A
584,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
586,codebase_community,challenging,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
587,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
592,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
595,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
598,codebase_community,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
604,codebase_community,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
629,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
633,codebase_community,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,AGENT_B
634,codebase_community,challenging,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
637,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
639,codebase_community,challenging,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,AGENT_B
640,codebase_community,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
665,codebase_community,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
669,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
671,codebase_community,simple,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
672,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
678,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
682,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
683,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
685,codebase_community,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_A
687,codebase_community,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
694,codebase_community,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
701,codebase_community,challenging,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
704,codebase_community,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
705,codebase_community,simple,CORRECT,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_A
707,codebase_community,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
710,codebase_community,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,TIE
716,codebase_community,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
1025,european_football_2,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1028,european_football_2,challenging,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1029,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1030,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1031,european_football_2,challenging,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1032,european_football_2,moderate,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1035,european_football_2,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
1036,european_football_2,challenging,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
1037,european_football_2,challenging,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1039,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1040,european_football_2,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1042,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1044,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1048,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1057,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1058,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1068,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1076,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1078,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1079,european_football_2,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1080,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
1084,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
1088,european_football_2,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1091,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,TIE
1092,european_football_2,simple,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
1094,european_football_2,challenging,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1096,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1098,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1102,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1103,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1105,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
1107,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1110,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1113,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1114,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1115,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1116,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1122,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
1124,european_football_2,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1130,european_football_2,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1133,european_football_2,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,TIE
1134,european_football_2,simple,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
1135,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
1136,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_A
1139,european_football_2,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1141,european_football_2,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1144,european_football_2,simple,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
1145,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1146,european_football_2,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
1147,european_football_2,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1148,european_football_2,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
89,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,TIE
92,financial,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
93,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
94,financial,,EXECUTION_ERROR,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
95,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
98,financial,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
99,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
100,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
112,financial,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
115,financial,challenging,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
116,financial,challenging,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
117,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
118,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
125,financial,challenging,WRONG_ANSWER,SCHEMA_MISMATCH,PARTIAL_AGREEMENT,AGENT_B
128,financial,moderate,WRONG_ANSWER,CORRECT,PARTIAL_AGREEMENT,AGENT_B
136,financial,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
129,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
137,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
138,financial,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
145,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
149,financial,challenging,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
152,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
159,financial,simple,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
168,financial,moderate,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
169,financial,challenging,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
173,financial,challenging,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
186,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
189,financial,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
192,financial,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
194,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
119,financial,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
120,financial,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
846,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
847,formula_1,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_A
850,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
854,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
857,formula_1,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
859,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
861,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
862,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
865,formula_1,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
866,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
868,formula_1,simple,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
869,formula_1,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
872,formula_1,simple,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
875,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
877,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
879,formula_1,moderate,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
880,formula_1,challenging,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
881,formula_1,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
884,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
892,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
894,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
895,formula_1,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
896,formula_1,challenging,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
897,formula_1,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_A
898,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
901,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
902,formula_1,simple,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
904,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
906,formula_1,moderate,WRONG_ANSWER,CORRECT,TOTAL_DISAGREEMENT,AGENT_B
909,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
910,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
912,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
915,formula_1,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
928,formula_1,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
930,formula_1,simple,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
931,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
933,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
937,formula_1,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
940,formula_1,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_A
